,label,text
13732,1,local teen quits club that would've been tiebreaker in admission to dream school
21438,1,"million robot march attended by exactly 1,000,000 robots"
22362,0,evangelical voters don't care that trump's not religious
43,1,siblings gather around powerpoint to hash out off-limits topics for thanksgiving
23148,1,"Dude, my own father had hospice care in my home up until he died. I think I know a thing or two about it. None of what you say disproves that end-of-life can still be a scary thing. Maybe if you'd stop just being belligerent about it and actually thoughtfully discuss it, you might actually find some things I'm saying you find agreeable. (GASP!)"
1129,0,4 trump accusers call on congress to investigate sexual misconduct claims
4380,0,a big myth about how to spot a narcissist
15891,0,am i the only virgin in college?
4503,1,george h.w. bush remembered for vast contributions to aids quilting community
11198,1,ted nugent talks that way even when buying socks
11878,1,enterprising child saves $54 to buy barrel of oil
16897,1,"Did the bill include burning heretics at the stake, stoning them out of the village or removing a women's right to vote?"
24062,1,al kozlewski pulls a kozlewski
7649,0,body found near where kayaker went missing
5757,1,I'd like to see how much wealth you can take with you to your grave.
26593,1,congress agrees to $1.3 billion for protective border fencers
780,0,14 photos show the utter bravery of serving while trans
8661,1,"I'll put up such a sign up if you agree to put up a sign in your front yard that says, ""As a gun owner, I'm helping to increase my county's burglary rate.""
"
18990,0,I wish you could put your hands on that poll as well. Until then I'll remain skeptical. Let's remember that Democrats and liberals hunt. Remove that group and what's left? Something less than 20% of Americans that own only handguns.
4661,1,"That explains your excellent use of grammar, word choice and spelling? ROTFLMAO"
77,1,"There were no contradictory accounts on that, just descriptions on a linear timeline. I suppose you see ghosts around every corner too.
Are you a 9/11 Truther too?"
4411,1,cory booker tries to relate to rural voters by mangling hand in grain auger
4736,0,"america, the next hobby lobby case is heading for the supreme court"
15008,1,man can still win fantasy football this week provided tight end scores 9 touchdowns on monday
13876,1,"new 40-gigabite ihop breakfast platter holds up to 10,000 pancakes"
16298,1,"So, in order to be against gay marriage, a person has to be faithful in his own marriage? Gimme a break. He supports what his constituents want him to support or he doesn't get elected. In case you haven't noticed, the majority of Americans are against gay marriage."
9748,0,teen girls reviewed super bowl commercials and what they discovered will surprise you
7521,1,copy editor's revenge takes form of unhyphenated word
21512,1,area cow doesn't suspect a thing
3902,0,california lawmakers want uc davis chancellor to resign
25950,1,"Based on what besides your own immediate knee-jerk denials?
You're always in the tank for the Bible bashers."
27039,0,donald trump says peace in the middle east is 'one of the toughest deals'
2082,1,gop claims kavanaugh shouldn't lose appointment for youthful indiscretion of repeatedly lying under oath
11326,1,report: maid of honor not even that good of friends with bride
13986,1,"autopsy determines total loser's corpse contained no traces of drugs, alcohol"
4459,1,baltimore named city with best quality of pigeon life
11892,0,"Total of denials = 761,814  
 
 Violent Crime and Murder rate decreased.
   Crime in the United States -- by Volume and Rate per 100,000 Inhabitants, 1989&#8211;2008"
24945,0,the clinton campaign is in 'the barrel.' they have a plan to get out.
15161,0,"people with disabilities have a hard time finding jobs, and this company is doing something about it"
19806,1,"The Book of Genesis is either secular or observed history? Somebody get marc a dictionary, please. (And I'd link him to a long list of observed instances of speciation, but he'd ignore it yet again.)"
17933,0,"malaysian airliner shot down, fedex charged over drug shipments (video)"
3291,0,pilot was locked out of cockpit before alps crash
3022,1,dad suggests arriving at airport 14 hours early
4214,0,"I think you got it backwards Kelvin. You're the one that said you wouldn't let your children play with toy guns because you're afraid that your children wouldn't be able to tell the difference between a real gun and a toy gun. Blindone never advocated toy gun-control. On the contrary, Blindone was pointing out that toy guns don't harm children.   And if your children can't tell the difference between fantasy and reality how do you expect them to handle a gun responsibly? They might try to shoot the boogey man or their own shadow."
10087,0,tom hardy goes from real-life hero to movie supervillain
23264,1,area man achieves your dream
10485,1,"I'd love to see an explanation about how the study of the natural world disproves the existence of all Deities. Especially the Deistic Gods. And I'd love to see how science is suppose to disprove a being that is not bound by logic, reason or any laws. What science can do is disprove that God was directly responsible for this or that, the sun rising, the rain season, etc. Did you perhaps realize that many scientists are Buddhists because Buddhism which has beings that behave as Gods with such powers and exist partially within the natural and supernatural? Or are you again assuming all religions don't exist except for Christanity?"
25036,1,melania trump hangs decayed badger carcass over white house mantel to finish off traditional slovenian christmas decor
5899,0,my hair was a stranger to me
14202,0,when parents part
27173,0,toothbrush melts into oblivion in surprisingly hypnotic video
3977,1,this first time area man hearing about daughter dating george zimmerman
13584,1,house votes against trump's national emergency on grounds that only congress allowed to misappropriate funds
15365,1,camel cash inherited from grandpa
23472,1,man going to restroom deputizes friend to order him another beer
1794,1,length of relationship mistaken for quality of relationship
4979,1,cia to shift focus to greeting cards
27840,1,police assure residents kidnapping was only one of those custody-related ones
1952,0,"Well, its not just morally wrong in America, but its morally wrong in the middle east as well. And i think that if we continue our way downward morally as a nation, it would give terrorists even more hate for america because we are supposedly a ""christian nation"" and dont live morally.   anyways."
26407,1,paramount executive snaps up script that begins with studio logo fading into establishing shot of actual mountain
20371,0,don't let the headphones (or the extra fat) fool you
14574,0,"Unfortunately Democrats have a credibility problem. Many Pro-gun Democrats have been elected, and America is giving them a chance, but apparently they do not believe Obama because of his past Anti-gun support and votes. However   Ms. Feinstein's comments about waiting for the correct timing to bring up gun control  did not help the creditability problem either. I guess only time will tell."
13894,0,nra's dana loesch: 'many in legacy media love mass shootings'
24233,0,finding kind: a film and campaign that asks girls to be a little kinder
14116,1,dipshit toddler waving at wall
1799,1,area dad off to bad start with waitress
18688,0,train slices truck in half in terrifying railroad crossing crash
3567,1,alumni magazine tiptoeing around campus shooting
7799,1,aretha franklin institute for female entrepreneurship confirms sisters are doin' it for themselves
4873,0,this stepmom and biomom's relationship is parenting #goals
4826,0,"i'm all in for hillary clinton, my next president"
22090,0,how to change yourself from the inside out
19440,0,"on this week's best-dressed list, lupita nyong'o steals the show"
1708,0,"conservatives celebrate john boehner's exit, but they're still mad at mitch mcconnell"
23906,1,description of hot-dog ingredients fails to ruin picnic
9947,1,nanny appears in child's drawings more than mother
9717,0,"But the Court went further than necessary. They set the point at which States could legally impose restrictions on abortion negating many state statutes in the process and establishing the ""right to abortion"" ON DEMAND at any time. That was an exercise in judicial activism. They took statures that existed in many states and arbitrarily determined at what point they could be applied. It's not the Court's function to legislate from the bench. It is up to the States and Federal Legislatures to determine at what point the fetus' rights are protected."
21607,1,local audience deemed 'great'
17450,1,update: 'the onion' has halted production on our travel tips video narrated by jeremy piven
6103,0,protest again delays hawaii giant telescope construction
26652,1,new online voting system allows millions of masturbators to take part in democracy
14227,1,"No, not at all. Read the post above. 'Christmas cracker'?? What's that? Here, we have Fortune cookies.:)"
26298,0,"the truth about politics: mo' money, mo' problems"
25996,1,cast of 60 minutes suffers collective stroke
20106,0,dad's reindeer drone perfectly tackles son's christmas fears
27858,1,man wearing 'jewmerica' t-shirt never dreamed he'd see this day
4109,1,"Yeah so what? I left the UK, I'm free now."
364,1,curiosity rover frantically driving around mars to make it look like it's been busy before new spacecraft arrives
18982,1,cher's 'believe' now faintly audible everywhere in america
17312,1,theresa may recommits to nhs after receiving stark reminder of abysmal state of u.s. mental health care
25393,0,senate can't pass methane rollback so interior decides to do it anyway
15851,0,"This question is premised on an untenable assumption: that people should not be allowed to vote on particular issues. This premise is clearly not true in any democratic society, and is especially not true in the United States. In the United States, it is a contradiction in terms to say someone is not allowed to vote on X. I have demonstrated this before, and yet the same silly question keeps coming up."
4201,0,apple gave a major shot in the arm to wearable tech
24473,1,u.n. weapons inspectors thoroughly unimpressed with yemeni weapons
11314,0,will ferrell is really pumped about the usa-germany game
10046,1,"bodybuilder strong, but now what?"
11999,0,ukraine at a crossroads: could putin lose his job over mishandling the crisis?
25857,1,limited-edition solange vinyl features list of chores to do while album plays in background
19201,1,man not accepting any more television recommendations at this time
3593,0,'we do!' -- episcopalians ok marriage for same-sex couples
20223,1,valiant fact-checkers once again save american political system from descending into corruption
10683,0,singing the methane blues
8861,1,extremely vibrant town able to sustain two buffalo wild wings
21348,0,"1 - It is innacurate. We allow killing in times of war, in self defense, and in state sanctioned executions. So we already have a situation where, when given X mitigating factors, it is justifiable to take a life. It is impossible to say all life is equal, and then to apply that as law. People will be outraged. I know I would be.2 - Objective to who? Who gets to decide how valuable life is? And why should they get to? And who says they are right? The relative value of life works fine, thanks very much."
4217,0,do serving sizes impact how much you eat?
24496,1,eva longoria tans self out of visible spectrum
14971,1,new carpet cleaner safe for pets that were meant to go on living
19129,1,rumsfeld: 'my half-assed job here is done'
21933,0,the stop trump movement got new life in ohio
12421,0,affordable fast food that's good for you? what a concept
18002,0,israeli ambassador ron dermer pokes fun at critics with super bowl prediction
10487,1,5-year-old explorer makes contact with life-forms in adjacent booth
20260,1,"So, when a comedian leaves the stage and say's I killed tonight, then obviously killing people en-masse is just fine, right?"
3637,1,scientists finally pronounce human genome
10167,1,body positivity advocate caught in illicit tryst with conventionally attractive lover
7874,1,southerner recognized for driving-in-a-circle
24555,0,how do you survive an ostrich attack? watch this video.
18704,1,"More bible blather. Facts please!!!!!!!! This is where you can't comprehend. Just because you interpret a bunch of ancient writings in a certain way doesn't make it so. Perhaps you better make another phone call to god for some explanation.
"
27054,1,freak accident paralyzes man from waist up
4064,0,long-lost salamander rediscovered in guatemalan jungle
4434,0,'family' groups blast boy scouts' decision to allow trans kids
18756,0,look: this is what an lgbt ally looks like
15271,1,"aides say bannon was not on the record when he issued deafening, atonal howl that caused journalist's skull to explode"
10179,1,"Not in the mood? Oh I see because they restrict you already your not in the mood to remove the regulations that do not work and insert proper ones that do. Excellent ignore the issue at hand and give no suggestion to improve upon the current laws and restrictions....
"
17065,0,are you the artist...or the masterpiece?
26184,0,professor to 'part ways' with college over comments about islam
1234,1,jeb bush assures pipe-wielding thugs he'll have the delegates he promised them by next week
13036,0,seth rogen says he smoked weed in steven spielberg's face
20612,1,area man needs two more trips to best buy to beat xbox 360 game
1627,1,production of 'iceman cometh' canceled due to entire cast getting called back for axe body spray commercial
10897,1,"deep orange sun slowly, beautifully setting on topher grace's career"
9282,1,hanes introduces new no-way panties
13201,0,bangladesh bloggers fear deadly backlash won't end soon
3235,0,stephen colbert let deray mckesson interview him about his whiteness
18830,0,the first 'assassin's creed' trailer levels up video game movies
10340,1,everyone proud of grandma for staying awake
24443,0,"""the innocents"": a film review"
23119,0,the gop health care bill falls apart ― again ― and no one can agree whose fault it is
23825,0,doj is monitoring investigation into fatal police shooting of philando castile
1779,0,kim kardashian tries to explain why she's famous to a toddler
20588,1,"There's more to this story. The doctors who performed the abortion and the girl's mother, were excommunicated from the Catholic Church. And get this: the stepfather who raped his stepdaughter since she was six was NOT excommunicated, because by the Church's logic, what he did was not as bad! But you know, given the way women are dealt with in their holy book, I shouldn't be surprised. http://www.cbc.ca/world/story/2009/0...n.html?ref=rss"
12040,0,he's the most mysterious guy in the world
19844,1,"Stalin died of natural causes while in power, I believe. Perhaps the fall of communism is due in part that the purges stopped. So, killing hundreds of thousands of people was wise for Stalin, huh? Good. Good. Anybody disagree with canadianman76?"
2312,0,"huffpollster: americans see progress, room for improvement on voting rights"
10248,0,"ICBM, but I believe the termites make up the largest land-based biomass on earth."
26274,0,18 habits of highly creative people
8004,0,marvel salutes hip-hop with 50 variant covers paying homage to classic albums covers
16482,0,south carolina governor signs 20-week abortion ban
15166,0,"Well said.   Except for a very few, all the profetallifers here refuse to discuss either.   They would rather buff, bluster, and bloviate in the most general of terms."
7389,0,a key consideration when refinancing your student loans
10464,0,how women and girls cope with getting their periods in refugee camps
17154,0,viral photo catches alabama cop helping homeless father and son
272,1,dad reaches age where it's no longer enjoyable to make fun of how old he is
18456,0,"on emmett till, black death spectacle, and cultural (mis)appropriation"
10975,0,This baby was 21 weeks old.   Here is 8 weeks   http://www.priestsforlife.org/resour...fig16baby8.jpg
6768,0,"I think it is very difficult, if not impossible to prove a negative."
5970,0,mindful parenting: how to respond instead of react
10473,1,new study reveals majority of americans want
2660,0,did climate change spawn all these hurricanes? here's why it's hard to say.
16460,0,"after the march for science, it's time to get political"
2753,1,"Why doesn't this apply to Soviet Russia - which had a population of similar size ? Presumably, your answer would be that the USSR was less ""developed"" than the US ?"
19107,1,man's food poisoning could realistically be traced back to any meal from past week
10976,0,"I can well believe that pandion cannot answer this question; no one can accurately answer it. We know that baldness, as a genetic condition, is polygenetic (ie it's controlled by multiple genes) and autosomal (the genes [or at least the bulk of them] do not reside on the X or Y chromosomes). Despite being autosomal, people appear statistically slightly more likely to exhibit balness if the trait comes from their mother's side of the family. Even if we knew precisely which genes were involved and which of those genes your kids had, we still cannot tell you the likihood of your children being bald. The chances of the gene combination being expressed in the correct way to cause baldness are dependent on age, hormone levels, stress and probably a variety of other environmental conditions."
20733,1,comments mysteriously disabled on youtube video of sparrow in yard
1678,1,frustrated rick santorum still waiting for go-ahead from god to suspend presidential campaign
6728,1,juror way too far into trial to ask what 'contusions' are now
27571,1,senate intelligence committee confirms from testimony that donald trump jr. has no knowledge
12234,1,area man a little too old to have obama fever
7734,0,ice-t and coco talk sex during pregnancy
17231,1,So what? He made a statement on guns clearly and was well killed by one in the end...
12916,0,"berlin christmas market attack suspect killed in shootout in italy, official says"
14875,1,"You bet. Got a Scriptural problem with that, 'O ""jesus""? Or are you not familiar with your own inspired Word?"
21044,1,mike pence struggling to reckon with vision of prophet muhammad revealing that vp destined to become next president
214,1,burger king introduces new healthy deep-steamed french fries
13771,1,"matt lauer spending more time with friends, family after installing automatic locking devices on doors at home"
13429,0,aly raisman says usa gymnastics is '100 percent responsible' for nassar abuse
9806,0,tiny horse lives large with labrador pal
12091,1,mark zuckerberg touts complete lack of cannibalism on facebook live so far
12048,0,"epa accidentally spills millions of gallons of waste, turning river orange"
22478,1,retreating clinton campaign torches iowa town to slow advance of sanders volunteers
11242,0,what this ceo did proves that introverts make great leaders
10117,1,man races against time to take out trash bag with widening puncture
24040,0,leah remini claims she was pressured to bring kevin james into scientology
19900,1,"mystery freshman dominates ice breakers, disappears into night"
3430,1,"Well...
You can apparently read, but what you have apparently chosen to read - and accept - says much."
9973,0,'springsteen on broadway' is the 'rock and roll storybook' dreams are made of
11041,0,a small senate victory maintains methane regulation
4597,0,how blaming “many sides” hurts our children
8467,0,7 workout rules you can totally ignore
20460,1,new iranian president really impressed with country's nuclear arms program
7151,1,local gym teacher loves forcing children to dance
17834,0,government watchdog agrees to investigate trump voter fraud commission
1223,1,malala can tell oxford paired her with roommate just because they're both nobel laureates
18728,0,'riverdale' star lili reinhart apologizes for insensitive halloween tweet
7913,0,black voters helped elect the man who prosecuted birmingham church bombers
3681,1,disney world mascot could use a fucking vacation himself
19800,0,what our grieving family needs from loved ones this holiday season
26513,0,103 uber drivers accused of sexually assaulting or abusing customers: cnn
14916,1,national filmstrip board calls for quiet
11120,0,palestinians starting to play on less uneven playing field
24051,0,black women are the embodiment of black glory
2668,0,friday's morning email: inside trump's presser for the ages
15436,1,dermatologists recommend regularly checking body for screaming demonic face bulging out of skin
10219,1,Just three months. Man you have to be the best biology teacher in the world. Where did you learn to pull off a miracle like that?
27145,1,report: majority of statements now prefaced by phrase 'in light of recent events'
9584,1,man halfway down giant water slide remembers today 9/11
26340,0,how the obama administration is making it harder to shed student debt
17037,0,dianne feinstein eviscerates jeff sessions in savage closing argument
6691,1,sudden computer restart vomits up bilious mess of unsaved documents on screen
18771,0,paul lepage wants to bring back the guillotine for drug traffickers
18411,1,employee keeps up the good work
20644,0,an open letter to graduation speakers
24475,0,"no, bernie sanders has not pushed hillary clinton to the left"
3020,0,8 herbs and spices that fight off disease
6363,0,"Well, really, they both compensate and reciprocate for one another, you could say."
14889,0,"Exactly. If you are a child rapist and someone pops you in the head than you should go to jail for murder. Sorry, two wrongs don't make a right."
877,0,these award-winning wedding photos stand out from the pack
7693,0,Actually Archie it was neither left nor right. he went after both democrat and republican and took a center tone to the entire issue at hand. Portraying the reality of the suffering of his hometown due to jobs leaving the US and the greed on wall street.
4019,0,why it matters that women talk about their abortions
23254,1,"Well, we have Noah and his family getting off the Ark after the great flood. But no mention of Gilgamesh writers. They obviously weren't born yet.
"
3606,1,tom bosley named secretary of naps
3322,0,'fed up' zara workers battle for more hours
6642,0,she's changing the way our kids surf the web
20359,0,"'amazing grace' bidding war erupts, aretha franklin lawsuit could be resolved"
7719,1,"Your love of assumption is quite amusing (it also highlights your inability to argue honestly). All I did was point out that accidents are a cause of injuries and fatalities dealing with firearms. Nowhere did I suggest banning them in the slightest. Furthermore, I specifically noted that most of the accidents were due to improper gun safety.   So how about you take the stick out of your XXX and stop assuming whatever the **** you want for a change?   You are a joke Isly. About time you admit it."
26209,0,"""Supposedly""? You ran from those threads. You are the one making assertions that you don't back up. You are the one unwilling (i.e. unable) to show that Arctic foxes can adapt to a Phoenix summer. You are the one who keeps ignoring (what I will henceforth refer to as) The Chihuahua Challenge. For somebody claiming to be so clearly right and so obviously vindicated by the evidence, you've done nothing to show it, and you've done everything to run from it."
19166,0,"I believe that a system of rights is superior to a system of democracy. The US by the way, was never intended to be a democracy, but a republic - the difference being that in a republic an individual has his rights respected, while in a democracy the will of majority is the law.The ""right to vote"" or ""right to democracy"" is perhaps the greatest offender in the drama of conflicting rights such made up rights create, because where the will of the majority is law, no other rights can possibly exist."
11534,0,how really bad cgi almost ruined '80s disney horror flick 'watcher in the woods'
21261,0,lana del rey and stevie nicks to cast a joint musical spell on upcoming album
26204,1,ohio governor makes desperate plea to aquaman
14736,1,francis ford coppola admits wedding scene in 'the godfather' needed more lasagna
12540,0,slight drop in measles vaccinations could triple infections in u.s. kids
21329,0,"airline passenger arrested after allegedly saying, 'i kill white people like you'"
10330,0,read the latest updates on the senate health care vote
22005,1,mob of rowdy mothers bum-rush botanical garden
24387,1,virulent strain of soy flu traced to single tofurkey
19600,1,Born again? Pardon me for getting it right the first time. ;)
19663,0,trump praises chuck schumer in reposted tweet that first called him 'cunning'
18082,0,donald trump tweets cryptic response to twitter account deletion
22893,0,"the 'roseanne' revival catches up to our thorny political mood, for better and worse"
25131,1,'army of one' campaign attracting troubled loners to military
16228,0,"Oh. Thanks for pointing that out. I didn't recall reading that rule, but it certainly makes sense."
2477,1,"pay attention to what ? to the voices in your head ? 
your age is irrelevant to your recognized lack of intelligence, but being a minor would be relevant since it would excuse your ignorance.
My advice to you ?
keep all your life pretending in forums that you are just a kindergarten kid and therefore people would think that for a 4 year old kid you are not too dumb and of course knowing nothing is understandable."
24692,1,recently canonized martyr added to vatican's animatronic hall of saints
10305,0,walkable cities are both richer and smarter
13095,1,bandai recalls lady gaga
876,1,mayor of phoenix apologizes for naming berlin germany of 1941 as sister city
24056,1,"I reap many rewards and then some. emoticonXAngel Saving all your money to buy a perpetual future you think will make you happy, when you know nothing in this world will satisfy you, now that's Stupid. 
Put your questions in the right Forum next time, ok."
2721,0,shaun white called out by accuser's lawyer for minimizing sexual harassment
2019,1,bodybuilder's veins now outside of his skin
661,1,elderly couple dresses up for trip to denny's
15715,0,"death toll in romania fire rises to 41, ex-mayor arrested"
6120,0,Oh never mind that such a condition would be toxic...not to mention that no ice cores support such magical ideas.
27612,1,lab mouse nervous for first day of new job getting cancer
10304,1,trump: 'i remember flying the plane that bombed the uss arizona during pearl harbor'
8311,1,k-y introduces new line of jam
10806,1,"So there you have an example of a deterministic system acting to suprise you with unpredictable behavior. Consider it an example of deterministic ""free-will"""
23788,0,That's right. It merely has the capacity to make errors which sometimes slightly improves function in a particular environment. And those tend to accumulate over time.
12744,0,"these quotes from kids are hilarious, adorable and oddly insightful"
9497,1,I support gay people in all their efforts but I'm not gay myself so you will have to look elsewhere for a date.
15827,0,we'd like to get our hands on these stephen colbert 'col-bears'
5274,1,john kelly hoses layer of crumbs off president before speech on troop deployment
19275,0,trump budget a disaster for women and families
9930,0,"You not differentiating between the beaver and the beaver dam, the bird and the bird's nest or the man and the man's truck. The dams, nests and truck do not occur naturally...they are constructed by the naturally occuring animals using materials that occur in nature (albeit we have to smelt the iron and vulcanize the rubber whilst the birds and beavers just stick stuff together)."
14397,1,saudi operative mortified after surveillance footage reveals he wore same outfit as khashoggi
21495,0,katrina commander swears on live tv over puerto rico response
18337,1,death results in great deal of paperwork
4556,0,will ferrell breaks into the kardashian house for a good cause
11760,0,"new york post lobs gop endorsement to donald trump, because ¯\_(ツ)_/¯"
10745,0,monday's morning email: stormy daniels opens up about trump
5335,0,the one scene that sets 'apes' apart from other blockbusters
5701,0,arizona department of corrections changes menstrual pad policy following backlash
18595,1,"oh god, teacher arranged desks in giant circle"
27802,1,man receives first baboon-face transplant
4171,1,report: apocalypse actually happened 3 years ago
7460,1,tucker carlson challenges alexandria ocasio-cortez to a date
17522,0,the most dangerous beaches for shark attacks in the u.s.
16956,0,some of amazon's suitors have been burned before
18273,1,"But, but, I am a guy. And a hunky one at that.*
*filthy lie"
22971,1,"Uhhhh, I just said that I DO JUDGE! So what in the hell are you talking about? You're not well. I didn't bother to adress your points about slavery because there's no point. I disagree with your claims as I suspect would most historians. But it doesn't surprise me that Christians would try to claim that they ended slavery since they also try to falsely claim they founded the country."
20906,1,world-weary sigh emanates from next bathroom stall
21796,1,Well good at least you are aware there is no reason beyond your opinion of morality against gay marriage. So by all means don't marry a man and the problem is solved.
16749,0,bernie sanders suspends staffer for being as tough on israel as he is
2723,1,melania trump: 'my fat piece-of-shit husband who should go kill himself needs to stop bullying people online'
21404,0,how fico's new credit score will impact consumers
25627,1,michael dukakis still drives old tank everywhere
15248,1,Oh no an open minded church that doesn't hate? GASP! And sorry but the bible has many interpretations as is clearly seen in the WIDE and VAST amount of differing denominations. Just because their not closes binded right wing bigots doesn't mean you can grill them cause their interpretation is different...
18450,0,bush's 'electability' argument is getting even weaker
18548,1,"Right. Secular theists are called Deists, but I doubt you would want a Deist parade funded by your tax money, would you?"
26902,1,man spends entire marketing meeting nodding
13580,0,mentors we don't realize exist
3188,0,wednesday's morning email: republicans on cusp of passing tax giveaway
11419,1,email from mom sent at 5:32 a.m.
18662,1,bakery's closing nets man ton of free éclairs
26549,1,ahmadinejad signs on as dean at sarah lawrence
18298,0,"moms need to get away, too!"
306,1,department of interior to control rising mole population by releasing mallets into national parks
25164,0,congressional candidate recounts childhood abuse in powerful campaign ad
3326,0,no velvet rope for healthcare abroad
14440,0,love letters from wwii: in memory of my father
8747,1,dick pulled back out again
7045,1,coy 'dexter' producers hint at 'huge plot holes' in season finale
9396,1,paul hogan keeps pitching crocodile dundee saturday-morning cartoon
8569,1,man who enjoys thing informed he is wrong
8484,0,"Actually, I meant the behaviour refered to in her post was interesting."
14,1,harley-davidson releases new motorcycle designed for men
11849,1,"sole remaining lung filled with rich, satisfying flavor"
18560,0,kentucky governor's crime plan: volunteer 'prayer patrols' roaming the streets
19634,0,"You SERIOUSLY need to take a basic biology course so you can stop sticking your foot in your mouth emoticonXRolleyes An egg is NOT larva, and larva is NOT a caterpillar, and a caterpillar is NOT a butterfly - much the same as a zygote is NOT a embryo, and a embryo is NOT a fetus, and a fetus is NOT a baby, and a baby is NOT an adult. I challenge you to prove that a larva is exactly the same as a butterfly. If you can't even do something as simple as that, then you'll never understand the process/transformation of what a human has to go through, and THAT in and of itself should give you a clue as to how much in denial you are in, and how much you have to twist the truth around just to justify your version of events. Deal with it!"
21342,1,condoleezza rice drives halfway to airport before realizing she forgot interpreter
14226,1,no one has heart to ask human beat box to stop
3818,0,the important conversation almost no one seems to be having
1135,0,u.s. life expectancy falls as more people die from illnesses
12948,1,"Well ok then, why dont you tell us ""right"" view on gay marriage?
(Instead of just b-wording)"
17735,1,report: there never been a better time to buy than right now
16000,1,"Sorry but I don't read your posts, do you think I worship your word or something?
"
21188,1,weird wooden chair pressed into service for thanksgiving
4141,0,iran vows 'firm response' unless obama stops sanctions renewal
27691,1,man at park who set up table full of water cups has no idea how passing marathon runners got impression they can take them
17437,1,paragon of chivalrous virtue lets date have last mozzarella stick
